Institution name,FTE of submitted staff,GPA,search_name,alt_name,editors,Allied Academies,American Psychological Association,American Society of Civil Engineers,BioMedCentral,Cambridge University Press,eLife,Elsevier,Emerald,Frontiers,Hindawi,IGI Global,iMedPub,Inderscience,John Benjamins,Karger,Longdom,MDPI,PeerJ,Pleiades,PLOS,SAGE,SCIRP,Brill,Springer Nature,Royal Society of Chemistry,SciTechnol,All
Royal College of Art(The),122.25,2.9899999999999998,Royal College of Art(The),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston University,435.36,2.9899999999999998,Aston University,,34.0,0.0,0.0,0.0,4.0,3.0,0.0,34.0,12.0,92.0,2.0,4.0,1.0,15.0,5.0,0.0,5.0,5.0,0.0,1.0,2.0,29.0,0.0,3.0,2.0,0.0,2.0,221.0
University of the Highlands and Islands,116.44,2.98,University of the Highlands and Islands,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0
University of Portsmouth,573.81,2.965,University of Portsmouth,,27.0,0.0,1.0,0.0,2.0,4.0,0.0,27.0,21.0,57.0,3.0,7.0,0.0,13.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,41.0,0.0,2.0,0.0,0.0,1.0,189.0
Aberystwyth University / Prifysgol Aberystwyth,307.77,2.96,Aberystwyth University / Prifysgol Aberystwyth,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwich University of the Arts,18.1,2.96,Norwich University of the Arts,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The University of Westminster,393.08,2.9400000000000004,University of Westminster,,22.0,0.0,0.0,0.0,1.0,4.0,0.0,22.0,5.0,50.0,0.0,6.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,20.0,0.0,3.0,0.0,0.0,0.0,123.0
University of Lincoln,380.26,2.925,University of Lincoln,,14.0,0.0,0.0,0.0,1.0,5.0,0.0,14.0,12.0,78.0,0.0,11.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,29.0,2.0,1.0,0.0,0.0,0.0,178.0
Trinity Laban Conservatoire of Music and Dance,12.6,2.9200000000000004,Trinity Laban Conservatoire of Music and Dance,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"University of the West of England, Bristol",372.25,2.92,"University of the West of England, Bristol",,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,35.0
University of Keele,331.33,2.92,University of Keele,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,13.0
Brunel University London,638.1,2.875,Brunel University London,,31.0,0.0,0.0,0.0,2.0,2.0,0.0,31.0,4.0,119.0,3.0,3.0,0.0,11.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,216.0
Oxford Brookes University,377.16,2.85,Oxford Brookes University,,14.0,0.0,0.0,0.0,2.0,4.0,0.0,14.0,15.0,62.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,2.0,0.0,0.0,4.0,25.0,0.0,6.0,0.0,0.0,0.0,145.0
Edinburgh Napier University,251.06,2.8400000000000003,Edinburgh Napier University,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,37.0,2.0,3.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,93.0
Royal Conservatoire of Scotland,26.41,2.83,Royal Conservatoire of Scotland,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheffield Hallam University,458.22,2.82,Sheffield Hallam University,,17.0,1.0,0.0,0.0,2.0,2.0,0.0,17.0,19.0,63.0,0.0,15.0,0.0,11.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,22.0,0.0,1.0,0.0,0.0,1.0,163.0
The University of Bradford,221.56,2.815,University of Bradford,,29.0,0.0,0.0,0.0,3.0,2.0,0.0,29.0,20.0,38.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,119.0
"Queen Margaret University, Edinburgh",76.8,2.81,"Queen Margaret University, Edinburgh",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
London South Bank University,186.82,2.8099999999999996,London South Bank University,,21.0,0.0,0.0,0.0,2.0,1.0,0.0,21.0,10.0,46.0,1.0,2.0,1.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,1.0,0.0,116.0
Kingston University,368.25,2.8,Kingston University,,17.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,10.0,32.0,5.0,1.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,16.0,0.0,3.0,0.0,0.0,0.0,102.0
University of Greenwich,386.88,2.8,University of Greenwich,,19.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,12.0,66.0,3.0,6.0,1.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,147.0
Anglia Ruskin University Higher Education Corporation,259.22,2.785,Anglia Ruskin University Higher Education Corporation,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of South Wales / Prifysgol De Cymru,195.0,2.7800000000000002,University of South Wales / Prifysgol De Cymru,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Central Lancashire,417.97,2.7800000000000002,University of Central Lancashire,,19.0,0.0,1.0,0.0,3.0,3.0,0.0,19.0,22.0,64.0,1.0,3.0,0.0,10.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,0.0,152.0
The University of West London,75.0,2.78,University of West London,,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0
Royal Northern College of Music,19.61,2.7600000000000002,Royal Northern College of Music,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
The University of Huddersfield,552.15,2.76,University of Huddersfield,,29.0,0.0,0.0,0.0,5.0,3.0,0.0,29.0,26.0,49.0,4.0,1.0,1.0,6.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,34.0,1.0,0.0,1.0,0.0,1.0,171.0
Staffordshire University,102.46,2.75,Staffordshire University,,5.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,14.0,0.0,7.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,39.0
"St Mary's University, Twickenham",58.32,2.75,"St Mary's University, Twickenham",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Liverpool John Moores University,583.5,2.7350000000000003,Liverpool John Moores University,,36.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,24.0,77.0,2.0,8.0,1.0,16.0,0.0,1.0,0.0,7.0,2.0,0.0,8.0,14.0,1.0,1.0,0.0,0.0,0.0,199.0
Bournemouth University,513.01,2.73,Bournemouth University,,19.0,0.0,0.0,0.0,4.0,1.0,0.0,19.0,18.0,42.0,3.0,5.0,0.0,7.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,129.0
University of Sunderland,96.59,2.73,University of Sunderland,,4.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,21.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,38.0
Canterbury Christ Church University,204.6,2.725,Canterbury Christ Church University,,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,17.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,45.0
Middlesex University,404.65,2.7199999999999998,Middlesex University,,21.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,13.0,32.0,4.0,5.0,1.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,2.0,2.0,0.0,0.0,0.0,135.0
De Montfort University,485.54,2.7199999999999998,De Montfort University,,30.0,0.0,0.0,0.0,2.0,6.0,0.0,30.0,14.0,49.0,2.0,9.0,0.0,11.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,148.0
University of Suffolk,14.0,2.69,University of Suffolk,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0
London Metropolitan University,105.25,2.6700000000000004,London Metropolitan University,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,35.0
Glasgow Caledonian University,216.77,2.67,Glasgow Caledonian University,,9.0,0.0,1.0,0.0,3.0,1.0,0.0,9.0,10.0,27.0,2.0,5.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,85.0
Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,140.6,2.6599999999999997,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Bedfordshire,119.8,2.63,University of Bedfordshire,,10.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,9.0,27.0,1.0,12.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,77.0
University of Wolverhampton,296.32,2.6199999999999997,University of Wolverhampton,,9.0,0.0,0.0,0.0,5.0,13.0,0.0,9.0,14.0,28.0,2.0,7.0,0.0,9.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,11.0,0.0,2.0,0.0,0.0,0.0,108.0
Abertay University,110.77,2.615,Abertay University,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Bath Spa University,172.6,2.61,Bath Spa University,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,17.0
Harper Adams University,42.55,2.61,Harper Adams University,,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
"Arts University Bournemouth, the",45.33,2.605,"Arts University Bournemouth, the",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teesside University,240.1,2.6,Teesside University,,11.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,7.0,38.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,8.0,1.0,1.0,0.0,0.0,0.0,87.0
Birmingham City University,290.17,2.5999999999999996,Birmingham City University,,4.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,13.0,31.0,0.0,7.0,0.0,6.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,77.0
Edge Hill University,259.41,2.5600000000000005,Edge Hill University,,7.0,0.0,0.0,0.0,1.0,4.0,0.0,7.0,3.0,36.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,79.0
University of East London,208.47,2.56,University of East London,,5.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,6.0,30.0,0.0,9.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,82.0
University of Winchester,163.84,2.56,University of Winchester,,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,21.0
Leeds Beckett University,352.65,2.56,Leeds Beckett University,,19.0,0.0,1.0,0.0,3.0,3.0,0.0,19.0,21.0,55.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,22.0,0.0,1.0,0.0,0.0,1.0,142.0
Robert Gordon University,84.06,2.56,Robert Gordon University,,6.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,14.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0
University of the West of Scotland,272.4,2.545,University of the West of Scotland,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,34.0,4.0,7.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,86.0
University of Derby,264.21,2.535,University of Derby,,10.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,11.0,34.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,83.0
University of Gloucestershire,127.0,2.5300000000000002,University of Gloucestershire,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,26.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,43.0
University of Wales Trinity Saint David / Prifysgol Cymru Y Drindod Dewi Sant,68.15,2.5,University of Wales Trinity Saint David / Prifysgol Cymru Y Drindod Dewi Sant,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool Hope University,168.26,2.4799999999999995,Liverpool Hope University,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,29.0
University of St Mark & St John,24.5,2.47,University of St Mark & St John,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
University of Chester,255.69,2.46,University of Chester,,6.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,8.0,19.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,1.0,3.0,0.0,0.0,0.0,58.0
Buckinghamshire New University,30.0,2.45,Buckinghamshire New University,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0
The Royal Academy of Music,22.19,2.4499999999999997,Royal Academy of Music,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hartpury University,8.6,2.36,Hartpury University,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Rose Bruford College of Theatre and Performance,8.9,2.35,Rose Bruford College of Theatre and Performance,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
York St John University,160.61,2.3399999999999994,York St John University,,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,28.0
The Royal Agricultural University,16.7,2.33,Royal Agricultural University,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
The University of Cumbria,57.85,2.2800000000000002,University of Cumbria,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
University of Worcester,148.35,2.28,University of Worcester,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0
The University of Chichester,92.27,2.225,University of Chichester,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0
Ravensbourne University London,20.4,2.2,Ravensbourne University London,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"University of Northampton, The",150.7,2.165,"University of Northampton, The",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University College of Osteopathy (The),3.78,2.16,University College of Osteopathy (The),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newman University,56.9,2.1599999999999997,Newman University,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,22.37,2.105,Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AECC University College,7.7,2.07,AECC University College,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"Solent University, Southampton",53.82,2.04,"Solent University, Southampton",,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Stranmillis University College,11.0,2.0300000000000002,Stranmillis University College,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Grosseteste University,45.2,1.98,Bishop Grosseteste University,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
Leeds Trinity University,43.6,1.9100000000000001,Leeds Trinity University,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0
The University of Bolton,66.35,1.63,University of Bolton,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,25.0
Leeds Arts University,70.99,1.5150000000000001,Leeds Arts University,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Metanoia Institute,5.5,1.23,Metanoia Institute,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
